time,load@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,0.62890625 
10,0.53125 
20,0.51953125 
30,0.51953125 
40,0.51953125 
50,0.51953125 
60,0.44921875 
70,0.37890625 
80,0.3203125 
100,0.3203125 
110,0.3203125 
120,0.3203125 
130,0.3203125 
140,0.3203125 
150,0.30078125 
160,0.30078125 
170,0.30078125 
180,0.30078125 
190,0.30078125 
200,0.25 
220,0.25 
230,0.25 
240,0.25 
250,0.25 
260,0.25 
270,0.25 
280,0.25 
290,0.25 
300,0.25 
310,0.25 
320,0.25 
330,0.25 
350,0.25 
360,0.25 
370,0.25 
380,0.25 
390,0.25 
400,0.25 
410,0.25 
420,0.25 
430,0.25 
440,0.25 
450,0.25 
470,0.25 
480,0.25 
490,0.25 
500,0.25 
510,0.25 
520,0.25 
530,0.25 
540,0.25 
550,0.25 
560,0.25 
570,0.25 
580,0.25 
600,0.25 
610,0.25 
620,0.25 
630,0.25 
640,0.25 
650,0.25 
660,0.25 
670,0.25 
680,0.25 
690,0.25 
700,0.25 
720,0.25 
730,0.25 
740,0.25 
750,0.25 
760,0.25 
770,0.25 
780,0.25 
790,0.25 
800,0.25 
810,0.25 
820,0.25 
840,0.25 
850,0.25 
860,0.25 
870,0.25 
880,0.25 
890,0.25 
900,0.25 
910,0.25 
920,0.25 
930,0.25 
940,0.25 
960,0.25 
970,0.25 
980,0.25 
990,0.25 
1000,0.25 
1010,0.25 
1020,0.25 
1030,0.25 
1040,0.25 
1050,0.25 
1060,0.25 
1070,0.25 
1090,0.25 
1100,0.25 
1110,0.25 
1120,0.25 
1130,0.25 
1140,0.25 
1150,0.25 
1160,0.25 
1170,0.25 
1180,0.25 
1190,0.25 
1210,0.25 
1220,0.25 
1230,0.25 
1240,0.25 
1250,0.25 
1260,0.25 
1270,0.25 
1280,0.25 
1290,0.25 
1300,0.25 
1310,0.25 
1330,0.25 
1340,0.25 
1350,0.25 
1360,0.25 
1370,0.25 
1380,0.25 
1390,0.25 
1400,0.25 
1410,0.25 
1420,0.25 
1430,0.25 
1440,0.25 
1460,0.25 
1470,0.25 
1480,0.25 
1490,0.25 
1500,0.25 
1510,0.25 
1520,0.25 
1530,0.25 
1540,0.25 
1549,0.25 
