time,load@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,0.62890625 
10,0.62890625 
20,0.62890625 
30,0.62890625 
40,0.62890625 
50,0.62890625 
60,0.62890625 
70,0.62890625 
80,0.62890625 
100,0.62890625 
110,0.62890625 
120,0.62890625 
130,0.62890625 
140,0.62890625 
150,0.62890625 
160,0.62890625 
170,0.62890625 
180,0.62890625 
190,0.62890625 
200,0.62890625 
220,0.62890625 
230,0.62890625 
240,0.62890625 
250,0.62890625 
260,0.62890625 
270,0.62890625 
280,0.62890625 
290,0.62890625 
300,0.62890625 
310,0.62890625 
320,0.62890625 
330,0.62890625 
350,0.62890625 
360,0.62890625 
370,0.78125 
380,0.78125 
390,0.78125 
400,0.78125 
410,0.78125 
420,0.78125 
430,0.78125 
440,0.78125 
450,0.80859375 
470,0.80859375 
480,0.80859375 
490,0.80859375 
500,0.80859375 
510,0.80859375 
520,0.80859375 
530,1.19921875 
540,1.19921875 
550,1.19921875 
560,1.19921875 
570,1.19921875 
580,1.19921875 
600,1.19921875 
610,1.19921875 
620,1.19921875 
630,1.19921875 
640,1.19921875 
650,1.19921875 
660,1.19921875 
670,1.19921875 
680,1.19921875 
690,1.19921875 
700,1.19921875 
720,1.19921875 
730,1.19921875 
740,1.19921875 
750,1.19921875 
760,1.19921875 
770,1.19921875 
780,1.19921875 
790,1.19921875 
800,1.19921875 
810,1.19921875 
820,1.19921875 
840,1.19921875 
850,1.19921875 
860,1.19921875 
870,1.19921875 
880,1.19921875 
890,1.19921875 
900,1.19921875 
910,1.19921875 
920,1.19921875 
930,1.19921875 
940,1.19921875 
960,1.19921875 
970,1.19921875 
980,1.19921875 
990,1.19921875 
1000,1.19921875 
1010,1.19921875 
1020,1.19921875 
1030,1.19921875 
1040,1.19921875 
1050,1.19921875 
1060,1.19921875 
1070,1.19921875 
1090,1.19921875 
1100,1.19921875 
1110,1.19921875 
1120,1.19921875 
1130,1.19921875 
1140,1.19921875 
1150,1.19921875 
1160,1.19921875 
1170,1.19921875 
1180,1.19921875 
1190,1.19921875 
1210,1.19921875 
1220,1.19921875 
1230,1.19921875 
1240,1.19921875 
1250,1.19921875 
1260,1.19921875 
1270,1.19921875 
1280,1.19921875 
1290,1.19921875 
1300,1.19921875 
1310,1.19921875 
1330,1.19921875 
1340,1.19921875 
1350,1.19921875 
1360,1.19921875 
1370,1.19921875 
1380,1.19921875 
1390,1.19921875 
1400,1.19921875 
1410,1.19921875 
1420,1.19921875 
1430,1.19921875 
1440,1.19921875 
1460,1.19921875 
1470,1.19921875 
1480,1.19921875 
1490,1.19921875 
1500,1.19921875 
1510,1.19921875 
1520,1.19921875 
1530,1.19921875 
1540,1.19921875 
1549,1.19921875 
