time,sentpackets@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
10,2150 
20,3937.0 
30,4429.0 
40,3825.0 
50,4966.0 
60,3613.0 
70,5240.0 
80,3703.0 
100,4067.0 
110,4950.0 
120,3951.0 
130,5119.0 
140,3640.0 
150,5517.0 
160,3499.0 
170,4618.0 
180,3524.0 
190,5208.0 
200,3711.0 
220,4654.0 
230,4039.0 
240,4777.0 
250,3194.0 
260,5231.0 
270,4181.0 
280,4706.0 
290,4053.0 
300,5650.0 
310,2675.0 
320,5920.0 
330,3416.0 
350,5065.0 
360,3954.0 
370,4737.0 
380,3746.0 
390,5515.0 
400,5104.0 
410,3745.0 
420,5466.0 
430,4136.0 
440,4967.0 
450,4987.0 
470,3729.0 
480,5931.0 
490,3142.0 
500,4846.0 
510,4570.0 
520,4610.0 
530,4855.0 
540,4096.0 
550,5159.0 
560,3991.0 
570,5731.0 
580,3208.0 
600,5361.0 
610,3954.0 
620,4523.0 
630,4562.0 
640,4076.0 
650,4973.0 
660,4487.0 
670,4245.0 
680,5328.0 
690,4009.0 
700,4714.0 
720,4602.0 
730,3629.0 
740,5455.0 
750,4838.0 
760,4982.0 
770,4461.0 
780,4049.0 
790,5869.0 
800,5890.0 
810,3810.0 
820,5.1e3 
840,3846.0 
850,5109.0 
860,3695.0 
870,5048.0 
880,4258.0 
890,4846.0 
900,3372.0 
910,5180.0 
920,4006.0 
930,5762.0 
940,5094.0 
960,3958.0 
970,5169.0 
980,3754.0 
990,5578.0 
1000,4538.0 
1010,4949.0 
1020,4665.0 
1030,3901.0 
1040,4453.0 
1050,4359.0 
1060,5698.0 
1070,4013.0 
1090,4661.0 
1100,5393.0 
1110,3761.0 
1120,5614.0 
1130,3569.0 
1140,5360.0 
1150,4860.0 
1160,3448.0 
1170,4779.0 
1180,3720.0 
1190,5219.0 
1210,5736.0 
1220,3531.0 
1230,4823.0 
1240,4867.0 
1250,4154.0 
1260,5476.0 
1270,3266.0 
1280,5574.0 
1290,5130.0 
1300,3870.0 
1310,4943.0 
1330,5505.0 
1340,3502.0 
1350,5685.0 
1360,4066.0 
1370,5448.0 
1380,4334.0 
1390,4379.0 
1400,5305.0 
1410,3740.0 
1420,5124.0 
1430,5191.0 
1440,4315.0 
1460,5514.0 
1470,4712.0 
1480,4317.0 
1490,5312.0 
1500,3602.0 
1510,5245.0 
1520,3936.0 
1530,5169.0 
1540,5569.0 
1549,3060.0 
