time,recvpackets@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
10,3173 
20,6613 
30,6613 
40,7360 
50,7360 
60,7980 
70,7980 
80,7980 
90,8077 
110,8077 
120,8077 
130,8077 
140,8077 
150,8077 
160,8077 
170,8077 
180,8077 
190,8077 
200,8077 
210,8077 
230,8077 
240,8077 
250,8077 
260,8077 
270,8077 
280,8077 
290,8077 
300,8077 
310,8077 
320,8077 
330,8077 
350,8077 
360,8973 
370,8973 
380,8973 
390,8973 
400,8973 
410,8973 
420,8973 
430,8973 
440,8973 
450,8973 
470,8973 
480,8973 
490,8973 
500,8973 
510,8973 
520,8973 
530,8973 
540,8973 
550,8973 
560,8973 
570,8973 
590,8973 
600,8973 
610,8973 
620,8973 
630,8973 
640,8973 
650,8973 
660,8973 
670,8973 
680,8973 
690,8973 
700,8973 
720,8973 
730,8973 
740,8973 
750,8973 
760,8973 
770,8973 
780,8973 
790,8973 
800,8973 
810,8973 
830,8973 
840,8973 
850,8973 
860,8973 
870,8973 
880,8973 
890,8973 
900,8973 
910,8973 
920,8973 
930,8973 
940,8973 
960,8973 
970,8973 
980,8973 
990,8973 
1000,8973 
1010,8973 
1020,8973 
1030,8973 
1040,8973 
1050,8973 
1060,8973 
1080,8973 
1090,8973 
1100,8973 
1110,8973 
1120,8973 
1130,8973 
1140,8973 
1150,8973 
1160,8973 
1170,8973 
1180,8973 
