time,newphase 
220,1 
230,1 
240,1 
250,1 
260,1 
270,1 
280,1 
290,1 
300,1 
310,1 
320,1 
330,1 
340,1 
350,1 
360,1 
370,1 
380,1 
390,1 
400,1 
410,1 
420,1 
430,1 
440,1 
450,1 
460,1 
470,1 
480,1 
490,1 
500,1 
510,1 
520,1 
530,1 
540,1 
550,1 
560,1 
570,1 
580,1 
590,1 
600,1 
610,1 
620,1 
630,1 
640,1 
650,1 
660,1 
670,1 
680,1 
690,1 
700,2 
710,2 
720,2 
730,2 
740,2 
750,2 
760,2 
770,2 
780,2 
790,2 
800,2 
810,2 
820,2 
830,2 
840,2 
850,2 
860,2 
870,2 
880,2 
890,2 
900,2 
910,2 
920,2 
930,2 
940,2 
950,2 
960,2 
970,2 
980,2 
990,2 
1000,2 
1010,2 
1020,2 
1030,2 
1040,2 
1050,2 
1060,2 
1070,2 
1080,2 
1090,2 
1100,2 
1110,2 
1120,2 
1130,2 
1140,2 
1150,2 
1160,2 
1170,2 
1180,2 
