time,sentpackets@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
10,2160 
20,4575 
30,4575 
40,5186 
50,5186 
60,5838 
70,5838 
80,5838 
90,5838 
110,5838 
120,5838 
130,5838 
140,5838 
150,5838 
160,5838 
170,5838 
180,5838 
190,5838 
200,5838 
210,5838 
230,5838 
240,5838 
250,5838 
260,5838 
270,5838 
280,5838 
290,5838 
300,5838 
310,5838 
320,5838 
330,5838 
350,5838 
360,6558 
370,6558 
380,6558 
390,6558 
400,6558 
410,6558 
420,6558 
430,6558 
440,6558 
450,6558 
470,6558 
480,6558 
490,6558 
500,6558 
510,6558 
520,6558 
530,6558 
540,6558 
550,6558 
560,6558 
570,6558 
590,6558 
600,6558 
610,6558 
620,6558 
630,6558 
640,6558 
650,6558 
660,6558 
670,6558 
680,6558 
690,6558 
700,6558 
720,6558 
730,6558 
740,6558 
750,6558 
760,6558 
770,6558 
780,6558 
790,6558 
800,6558 
810,6558 
830,6558 
840,6558 
850,6558 
860,6558 
870,6558 
880,6558 
890,6558 
900,6558 
910,6558 
920,6558 
930,6558 
940,6558 
960,6558 
970,6558 
980,6558 
990,6558 
1000,6558 
1010,6558 
1020,6558 
1030,6558 
1040,6558 
1050,6558 
1060,6558 
1080,6558 
1090,6558 
1100,6558 
1110,6558 
1120,6558 
1130,6558 
1140,6558 
1150,6558 
1160,6558 
1170,6558 
1180,6558 
