time,recvpackets@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
10,3173 
20,6613.0 
30,5974.0 
40,7360.0 
50,5778.0 
60,7980.0 
70,7289.0 
80,5065.0 
90,8077.0 
110,6426.0 
120,5733.0 
130,7467.0 
140,5821.0 
150,7344.0 
160,5261.0 
170,7158.0 
180,6369.0 
190,7304.0 
200,6799.0 
210,6171.0 
230,7495.0 
240,6591.0 
250,7266.0 
260,7467.0 
270,5297.0 
280,7330.0 
290,5757.0 
300,7696.0 
310,6123.0 
320,6649.0 
330,6437.0 
350,5431.0 
360,8973.0 
370,5714.0 
380,7107.0 
390,7484.0 
400,8048.0 
410,6424.0 
420,7738.0 
430,7325.0 
440,5160.0 
450,8361.0 
470,7310.0 
480,5341.0 
490,8199.0 
500,7392.0 
510,5171.0 
520,7065.0 
530,8229.0 
540,5847.0 
550,7937.0 
560,7758.0 
570,7116.0 
590,7405.0 
600,6356.0 
610,6459.0 
620,8252.0 
630,7521.0 
640,6290.0 
650,7224.0 
660,5367.0 
670,8411.0 
680,7153.0 
690,4611.0 
700,8312.0 
720,4976.0 
730,7714.0 
740,8.2e3 
750,5543.0 
760,7317.0 
770,8339.0 
780,5314.0 
790,8333.0 
800,7357.0 
810,4668.0 
830,7881.0 
840,7694.0 
850,5943.0 
860,7398.0 
870,8143.0 
880,5425.0 
890,8297.0 
900,7422.0 
910,7437.0 
920,5625.0 
930,7711.0 
940,5217.0 
960,8232.0 
970,7474.0 
980,5546.0 
990,7347.0 
1000,8052.0 
1010,5378.0 
1020,8255.0 
1030,7459.0 
1040,5268.0 
1050,8238.0 
1060,6570.0 
1080,6346.0 
1090,7339.0 
1100,8117.0 
1110,5625.0 
1120,7504.0 
1130,8456.0 
1140,5425.0 
1150,7806.0 
1160,6801.0 
1170,6837.0 
1180,1778.0 
