time,load@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,38.5703125 
10,32.640625 
20,27.69140625 
30,23.58984375 
40,19.9609375 
50,15.69140625 
60,13.28125 
70,11.30859375 
80,9.6484375 
90,8.23828125 
110,7.05078125 
120,5.6484375 
130,4.94140625 
140,4.26171875 
150,3.609375 
160,3.12890625 
170,2.6484375 
180,2.21875 
190,1.94921875 
200,1.73046875 
210,1.5390625 
230,1.30078125 
240,1.171875 
250,0.98828125 
260,1.12890625 
270,1.109375 
280,1.08984375 
290,1.1484375 
300,1.0390625 
310,1.1015625 
320,0.9296875 
330,0.7890625 
350,0.828125 
360,0.87109375 
370,0.73828125 
380,0.62109375 
390,0.6796875 
400,0.6484375 
410,0.78125 
420,0.76171875 
430,0.7109375 
440,0.6015625 
450,0.51171875 
470,0.4296875 
480,0.44921875 
490,0.4296875 
500,0.51953125 
510,0.51953125 
520,0.44140625 
530,0.37109375 
540,0.51171875 
550,0.4296875 
560,0.359375 
570,0.30859375 
590,0.48828125 
600,0.5703125 
610,0.66015625 
620,0.640625 
630,0.62109375 
640,0.51953125 
650,0.44140625 
660,0.37109375 
670,0.51953125 
680,0.44140625 
690,0.76171875 
700,0.71875 
720,0.76171875 
730,0.671875 
740,0.890625 
750,0.75 
760,0.7109375 
770,0.921875 
780,0.78125 
790,0.8515625 
800,0.71875 
810,0.609375 
830,0.890625 
840,0.75 
850,0.80859375 
860,0.6796875 
870,0.6484375 
880,0.55078125 
890,0.5390625 
900,0.53125 
910,0.6484375 
920,0.55078125 
930,0.5390625 
940,0.44921875 
960,0.5390625 
970,0.6484375 
980,0.55078125 
990,0.5390625 
1000,0.4609375 
1010,0.390625 
1020,0.55078125 
1030,0.51171875 
1040,0.4296875 
1050,0.359375 
1060,0.30859375 
1080,0.26171875 
1090,0.44140625 
1100,0.5 
1110,0.421875 
1120,0.6015625 
1130,0.578125 
1140,0.5703125 
1150,0.55859375 
1160,0.58984375 
1170,0.5 
1180,0.421875 
