time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2764.25390625 
10,2755.8515625 
20,2747.47265625 
30,2739.27734375 
40,2741.1171875 
50,2747.81640625 
60,2746.69140625 
70,2740.94140625 
80,2734.0859375 
90,2732.7578125 
110,2726.93359375 
120,2733.43359375 
130,2732.69140625 
140,2734.5390625 
150,2733.07421875 
160,2732.49609375 
170,2748.328125 
180,2752.4296875 
190,2742.6328125 
200,2740.0234375 
210,2758.0546875 
230,2756.84375 
240,2743.74609375 
250,2742.6171875 
260,2740.4140625 
270,2742.59375 
280,2748.1328125 
290,2747.0546875 
300,2746.9609375 
310,2746.984375 
320,2750.06640625 
330,2741.19140625 
350,2749.10546875 
360,2743.84375 
370,2756.28125 
380,2738.51171875 
390,2733.8203125 
400,2731.203125 
410,2746.7109375 
420,2739.16015625 
430,2727.421875 
440,2732.55078125 
450,2734.80078125 
470,2738.76953125 
480,2738.7265625 
490,2748.82421875 
500,2743.66796875 
510,2738.7421875 
520,2729.31640625 
530,2742.2265625 
540,2749.9296875 
550,2743.1328125 
560,2729.41796875 
570,2734.36328125 
590,2748.97265625 
600,2749.359375 
610,2742.76953125 
620,2754.2890625 
630,2751.1953125 
640,2749.26171875 
650,2739.09765625 
660,2732.2890625 
670,2739.05078125 
680,2736.2890625 
690,2735.6328125 
700,2745.53515625 
720,2739.66796875 
730,2728.6640625 
740,2721.4140625 
750,2736.27734375 
760,2736.19921875 
770,2728.48828125 
780,2732.29296875 
790,2726.6875 
800,2755.11328125 
810,2737.15234375 
830,2737.9296875 
840,2738.99609375 
850,2741.82421875 
860,2738.4765625 
870,2744.27734375 
880,2742.28125 
890,2741.7421875 
900,2740.453125 
910,2732.98046875 
920,2738.203125 
930,2742.44921875 
940,2739.35546875 
960,2741.515625 
970,2740.921875 
980,2738.40234375 
990,2748.7265625 
1000,2742.15234375 
1010,2743.82421875 
1020,2729.828125 
1030,2726.77734375 
1040,2740.5234375 
1050,2747.5078125 
1060,2742.484375 
1080,2738.3125 
1090,2734.20703125 
1100,2726.38671875 
1110,2726.14453125 
1120,2722.87890625 
1130,2735.39453125 
1140,2739.3984375 
1150,2737.38671875 
1160,2737.76171875 
1170,2738.1328125 
1180,2737.65234375 
