time,load@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,38.5703125 
10,32.640625 
20,27.69140625 
30,23.58984375 
40,19.9609375 
50,15.69140625 
60,13.28125 
70,11.30859375 
80,9.6484375 
90,8.23828125 
110,7.05078125 
120,5.6484375 
130,4.94140625 
140,4.26171875 
150,3.609375 
160,3.12890625 
170,2.6484375 
180,2.21875 
190,1.94921875 
200,1.73046875 
210,1.5390625 
230,1.30078125 
240,1.171875 
250,0.98828125 
260,0.98828125 
270,0.98828125 
280,0.98828125 
290,0.98828125 
300,0.98828125 
310,0.98828125 
320,0.9296875 
330,0.7890625 
350,0.7890625 
360,0.7890625 
370,0.73828125 
380,0.62109375 
390,0.62109375 
400,0.62109375 
410,0.62109375 
420,0.62109375 
430,0.62109375 
440,0.6015625 
450,0.51171875 
470,0.4296875 
480,0.4296875 
490,0.4296875 
500,0.4296875 
510,0.4296875 
520,0.4296875 
530,0.37109375 
540,0.37109375 
550,0.37109375 
560,0.359375 
570,0.30859375 
590,0.30859375 
600,0.30859375 
610,0.30859375 
620,0.30859375 
630,0.30859375 
640,0.30859375 
650,0.30859375 
660,0.30859375 
670,0.30859375 
680,0.30859375 
690,0.30859375 
700,0.30859375 
720,0.30859375 
730,0.30859375 
740,0.30859375 
750,0.30859375 
760,0.30859375 
770,0.30859375 
780,0.30859375 
790,0.30859375 
800,0.30859375 
810,0.30859375 
830,0.30859375 
840,0.30859375 
850,0.30859375 
860,0.30859375 
870,0.30859375 
880,0.30859375 
890,0.30859375 
900,0.30859375 
910,0.30859375 
920,0.30859375 
930,0.30859375 
940,0.30859375 
960,0.30859375 
970,0.30859375 
980,0.30859375 
990,0.30859375 
1000,0.30859375 
1010,0.30859375 
1020,0.30859375 
1030,0.30859375 
1040,0.30859375 
1050,0.30859375 
1060,0.30859375 
1080,0.26171875 
1090,0.26171875 
1100,0.26171875 
1110,0.26171875 
1120,0.26171875 
1130,0.26171875 
1140,0.26171875 
1150,0.26171875 
1160,0.26171875 
1170,0.26171875 
1180,0.26171875 
