time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2764.25390625 
10,2755.8515625 
20,2747.47265625 
30,2739.27734375 
40,2739.27734375 
50,2739.27734375 
60,2739.27734375 
70,2739.27734375 
80,2734.0859375 
90,2732.7578125 
110,2726.93359375 
120,2726.93359375 
130,2726.93359375 
140,2726.93359375 
150,2726.93359375 
160,2726.93359375 
170,2726.93359375 
180,2726.93359375 
190,2726.93359375 
200,2726.93359375 
210,2726.93359375 
230,2726.93359375 
240,2726.93359375 
250,2726.93359375 
260,2726.93359375 
270,2726.93359375 
280,2726.93359375 
290,2726.93359375 
300,2726.93359375 
310,2726.93359375 
320,2726.93359375 
330,2726.93359375 
350,2726.93359375 
360,2726.93359375 
370,2726.93359375 
380,2726.93359375 
390,2726.93359375 
400,2726.93359375 
410,2726.93359375 
420,2726.93359375 
430,2726.93359375 
440,2726.93359375 
450,2726.93359375 
470,2726.93359375 
480,2726.93359375 
490,2726.93359375 
500,2726.93359375 
510,2726.93359375 
520,2726.93359375 
530,2726.93359375 
540,2726.93359375 
550,2726.93359375 
560,2726.93359375 
570,2726.93359375 
590,2726.93359375 
600,2726.93359375 
610,2726.93359375 
620,2726.93359375 
630,2726.93359375 
640,2726.93359375 
650,2726.93359375 
660,2726.93359375 
670,2726.93359375 
680,2726.93359375 
690,2726.93359375 
700,2726.93359375 
720,2726.93359375 
730,2726.93359375 
740,2721.4140625 
750,2721.4140625 
760,2721.4140625 
770,2721.4140625 
780,2721.4140625 
790,2721.4140625 
800,2721.4140625 
810,2721.4140625 
830,2721.4140625 
840,2721.4140625 
850,2721.4140625 
860,2721.4140625 
870,2721.4140625 
880,2721.4140625 
890,2721.4140625 
900,2721.4140625 
910,2721.4140625 
920,2721.4140625 
930,2721.4140625 
940,2721.4140625 
960,2721.4140625 
970,2721.4140625 
980,2721.4140625 
990,2721.4140625 
1000,2721.4140625 
1010,2721.4140625 
1020,2721.4140625 
1030,2721.4140625 
1040,2721.4140625 
1050,2721.4140625 
1060,2721.4140625 
1080,2721.4140625 
1090,2721.4140625 
1100,2721.4140625 
1110,2721.4140625 
1120,2721.4140625 
1130,2721.4140625 
1140,2721.4140625 
1150,2721.4140625 
1160,2721.4140625 
1170,2721.4140625 
1180,2721.4140625 
