time,load@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,38.5703125 
10,38.5703125 
20,38.5703125 
30,38.5703125 
40,38.5703125 
50,38.5703125 
60,38.5703125 
70,38.5703125 
80,38.5703125 
90,38.5703125 
110,38.5703125 
120,38.5703125 
130,38.5703125 
140,38.5703125 
150,38.5703125 
160,38.5703125 
170,38.5703125 
180,38.5703125 
190,38.5703125 
200,38.5703125 
210,38.5703125 
230,38.5703125 
240,38.5703125 
250,38.5703125 
260,38.5703125 
270,38.5703125 
280,38.5703125 
290,38.5703125 
300,38.5703125 
310,38.5703125 
320,38.5703125 
330,38.5703125 
350,38.5703125 
360,38.5703125 
370,38.5703125 
380,38.5703125 
390,38.5703125 
400,38.5703125 
410,38.5703125 
420,38.5703125 
430,38.5703125 
440,38.5703125 
450,38.5703125 
470,38.5703125 
480,38.5703125 
490,38.5703125 
500,38.5703125 
510,38.5703125 
520,38.5703125 
530,38.5703125 
540,38.5703125 
550,38.5703125 
560,38.5703125 
570,38.5703125 
590,38.5703125 
600,38.5703125 
610,38.5703125 
620,38.5703125 
630,38.5703125 
640,38.5703125 
650,38.5703125 
660,38.5703125 
670,38.5703125 
680,38.5703125 
690,38.5703125 
700,38.5703125 
720,38.5703125 
730,38.5703125 
740,38.5703125 
750,38.5703125 
760,38.5703125 
770,38.5703125 
780,38.5703125 
790,38.5703125 
800,38.5703125 
810,38.5703125 
830,38.5703125 
840,38.5703125 
850,38.5703125 
860,38.5703125 
870,38.5703125 
880,38.5703125 
890,38.5703125 
900,38.5703125 
910,38.5703125 
920,38.5703125 
930,38.5703125 
940,38.5703125 
960,38.5703125 
970,38.5703125 
980,38.5703125 
990,38.5703125 
1000,38.5703125 
1010,38.5703125 
1020,38.5703125 
1030,38.5703125 
1040,38.5703125 
1050,38.5703125 
1060,38.5703125 
1080,38.5703125 
1090,38.5703125 
1100,38.5703125 
1110,38.5703125 
1120,38.5703125 
1130,38.5703125 
1140,38.5703125 
1150,38.5703125 
1160,38.5703125 
1170,38.5703125 
1180,38.5703125 
