time,cpu@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,7.348000879538848 
10,16.768149882903984 
20,11.654135338345863 
30,17.63875823142051 
40,12.018779342723004 
50,17.48710736052508 
60,18.860055607043556 
70,11.486169714017816 
80,11.48235294117647 
90,11.506080449017773 
110,12.417685794920038 
120,11.607142857142858 
130,11.753643629525152 
140,12.687969924812032 
150,14.285714285714285 
160,13.066037735849056 
170,18.330989217065166 
180,13.62781954887218 
190,15.769944341372913 
200,12.920018930430668 
210,13.63422661024918 
220,12.535344015080113 
240,12.942843646669816 
250,12.39396795475966 
260,12.136832239925024 
270,12.400561534861957 
280,12.951665884561239 
290,11.913696060037523 
300,17.735849056603772 
310,11.949390815370196 
320,19.666048237476808 
330,17.6056338028169 
340,13.080168776371309 
360,11.908110642287857 
364,12.270803949224259 
