time,cpu@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,7.348000879538848 
10,16.768149882903984 
20,16.768149882903984 
30,17.63875823142051 
40,17.63875823142051 
50,17.63875823142051 
60,18.860055607043556 
70,18.860055607043556 
80,18.860055607043556 
90,18.860055607043556 
110,18.860055607043556 
120,18.860055607043556 
130,18.860055607043556 
140,18.860055607043556 
150,18.860055607043556 
160,18.860055607043556 
170,18.860055607043556 
180,18.860055607043556 
190,18.860055607043556 
200,18.860055607043556 
210,18.860055607043556 
220,18.860055607043556 
240,18.860055607043556 
250,18.860055607043556 
260,18.860055607043556 
270,18.860055607043556 
280,18.860055607043556 
290,18.860055607043556 
300,18.860055607043556 
310,18.860055607043556 
320,19.666048237476808 
330,19.666048237476808 
340,19.666048237476808 
360,19.666048237476808 
364,19.666048237476808 
