time,load@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,1.328125 
10,1.328125 
20,1.328125 
30,1.328125 
40,1.328125 
50,1.328125 
60,1.328125 
70,1.328125 
80,1.328125 
90,1.328125 
110,1.328125 
120,1.328125 
130,1.328125 
140,1.328125 
150,1.328125 
160,1.328125 
170,1.328125 
180,1.328125 
190,1.328125 
200,1.328125 
210,1.328125 
220,1.328125 
240,1.328125 
250,1.328125 
260,1.328125 
270,1.328125 
280,1.328125 
290,1.328125 
300,1.328125 
310,1.328125 
320,1.328125 
330,1.328125 
340,1.328125 
360,1.328125 
364,1.328125 
