time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2767.83984375 
10,2767.83984375 
20,2767.83984375 
30,2767.83984375 
40,2767.83984375 
50,2767.83984375 
60,2767.83984375 
70,2767.83984375 
80,2767.83984375 
90,2767.83984375 
110,2767.83984375 
120,2767.83984375 
130,2767.83984375 
140,2767.83984375 
150,2767.83984375 
160,2767.83984375 
170,2767.83984375 
180,2767.83984375 
190,2767.83984375 
200,2767.83984375 
210,2767.83984375 
220,2767.83984375 
240,2767.83984375 
250,2767.83984375 
260,2767.83984375 
270,2767.83984375 
280,2767.83984375 
290,2767.83984375 
300,2767.83984375 
310,2767.83984375 
320,2767.83984375 
330,2767.83984375 
340,2767.83984375 
360,2767.83984375 
364,2767.83984375 
