time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2767.83984375 
10,2761.30859375 
20,2753.6328125 
30,2750.7421875 
40,2750.7421875 
50,2750.7421875 
60,2746.12109375 
70,2745.48046875 
80,2744.41796875 
90,2744.41796875 
110,2744.41796875 
120,2744.41796875 
130,2744.41796875 
140,2744.41796875 
150,2744.41796875 
160,2744.41796875 
170,2738.1953125 
180,2738.1953125 
190,2738.1953125 
200,2738.1953125 
210,2738.1953125 
220,2738.1953125 
240,2738.1953125 
250,2738.1953125 
260,2738.1953125 
270,2738.1953125 
280,2738.1953125 
290,2738.1953125 
300,2738.1953125 
310,2738.1953125 
320,2738.1953125 
330,2738.1953125 
340,2738.1953125 
360,2738.1953125 
364,2738.1953125 
