time,cpu@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,7.348000879538848 
10,7.348000879538848 
20,7.348000879538848 
30,7.348000879538848 
40,7.348000879538848 
50,7.348000879538848 
60,7.348000879538848 
70,7.348000879538848 
80,7.348000879538848 
90,7.348000879538848 
110,7.348000879538848 
120,7.348000879538848 
130,7.348000879538848 
140,7.348000879538848 
150,7.348000879538848 
160,7.348000879538848 
170,7.348000879538848 
180,7.348000879538848 
190,7.348000879538848 
200,7.348000879538848 
210,7.348000879538848 
220,7.348000879538848 
240,7.348000879538848 
250,7.348000879538848 
260,7.348000879538848 
270,7.348000879538848 
280,7.348000879538848 
290,7.348000879538848 
300,7.348000879538848 
310,7.348000879538848 
320,7.348000879538848 
330,7.348000879538848 
340,7.348000879538848 
360,7.348000879538848 
364,7.348000879538848 
