time,freemem@tsung_controller@tsung-master-0.tsung-master.tsung.svc.cluster.local 
0,2767.83984375 
10,2761.30859375 
20,2753.6328125 
30,2750.7421875 
40,2752.68359375 
50,2757.30859375 
60,2746.12109375 
70,2745.48046875 
80,2744.41796875 
90,2744.83203125 
110,2747.9140625 
120,2747.79296875 
130,2757.41015625 
140,2761.93359375 
150,2751.5078125 
160,2748.7890625 
170,2738.1953125 
180,2752.02734375 
190,2745.66015625 
200,2742.328125 
210,2738.9765625 
220,2738.73046875 
240,2756.91015625 
250,2751.265625 
260,2752.84765625 
270,2755.88671875 
280,2748.625 
290,2758.40625 
300,2760.79296875 
310,2760.31640625 
320,2753.71484375 
330,2749.7734375 
340,2748.5859375 
360,2749.390625 
364,2752.05078125 
